Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind möchte Ausstellungsflächen in öffentlichen Gebäuden nutzen und fragt nach Möglichkeiten.;Ethik und Gesellschaft;Gesellschaft;Öffentlichkeitsarbeit;Förderung des Verständnisses für Öffentlichkeitsarbeit und die Nutzung öffentlicher Räume;6+ Jahre;Ausstellung von Kinderarbeiten, Besuch von Ausstellungen, Gespräch
Das Kind zeigt Interesse an Geschichten über verschiedene Familienformen und Kulturen.;Ethik und Gesellschaft;Ethik;Vielfalt und Toleranz;Förderung der Vielfalt und Toleranz;5+ Jahre;Bilderbücher über verschiedene Familienformen anschauen, Rollenspiele mit verschiedenen Kulturen, Gesprächsrunden über Vielfalt.
Das Kind fragt nach Normen und Werten und diskutiert darüber.;Ethik und Gesellschaft;Ethik;Wertebewusstsein;Förderung des Wertebewusstseins und der sozialen Orientierung;6+ Jahre;Gesprächsrunden über Normen und Werte, Rollenspiele mit Wertkonflikten, Regeln für die Gruppe aufstellen.
Das Kind zeigt Interesse an den Festen anderer Kinder und fragt nach deren Bedeutung;Ethik und Gesellschaft;Gesellschaft;Kulturelle Neugier;Förderung interkulturellen Verständnisses und Empathie;3+ Jahre;Geschichten über Feste lesen, Basteln von Festtagsdekoration, gemeinsames Feiern von Festen
Das Kind erkennt Unterschiede in Hautfarbe, Sprache oder Kleidung und fragt nach;Ethik und Gesellschaft;Gesellschaft;Diversität und Toleranz;Sensibilisierung für Vielfalt und Förderung eines offenen Weltbilds;3+ Jahre;Geschichten über verschiedene Kulturen, Weltkarte mit Kindern aus aller Welt, Lieder in verschiedenen Sprachen singen
Das Kind ahmt Rollen aus dem Alltag nach (z. B. Verkäufer, Arzt);Ethik und Gesellschaft;Gesellschaft;Rollenspielverhalten;Förderung von Fantasie und sozialen Fertigkeiten;3+ Jahre;Verkleidungsecke, Kaufmannsladen spielen, Arztkoffer zum Spielen
Das Kind interessiert sich für Berufe und stellt Fragen dazu;Ethik und Gesellschaft;Gesellschaft;Berufswelt entdecken;Förderung von Neugier und Verständnis für gesellschaftliche Strukturen;3+ Jahre;"Besuch in der Feuerwehr, Arzt-Set zum Spielen, Bilderbuch: ""Was macht ein Bäcker?"""
Das Kind interessiert sich für ältere Menschen und fragt nach deren Leben;Ethik und Gesellschaft;Gesellschaft;Generationenverständnis;Förderung von Respekt und Neugier für andere Lebenswelten;4+ Jahre;"Besuch im Seniorenheim, Geschichten von Großeltern anhören, ""Früher und heute""-Bildbetrachtung"
Das Kind stellt Fragen zur Herkunft von Spielzeug, Kleidung oder Essen;Ethik und Gesellschaft;Gesellschaft;Nachhaltigkeitsbewusstsein;Förderung des Verständnisses für Umwelt und Konsum;4+ Jahre;"Besuch auf einem Bauernhof, Recycling-Projekte, ""Woher kommt mein Spielzeug?""-Bilderbuch"
Das Kind entwickelt Interesse an Tieren und setzt sich für ihr Wohlergehen ein;Ethik und Gesellschaft;Ethik;Tierbewusstsein;Förderung von Verantwortung und Empathie;3+ Jahre;"Besuch im Tierheim, Tierpatenschaft, ""Tiere schützen""-Projekt"
Das Kind beschreibt Unterschiede und Gemeinsamkeiten zwischen sich und anderen Kindern;Ethik und Gesellschaft;Gesellschaft;Identitätsbewusstsein;Förderung der Selbst- und Fremdwahrnehmung;3+ Jahre;"Freundebuch ausfüllen, ""Das bin ich""-Collage, Gesprächsrunden über Gemeinsamkeiten"
Das Kind fragt nach der Familienkonstellation anderer Kinder und erzählt von seiner eigenen.;Ethik und Gesellschaft;Gesellschaft;Familienverständnis;Förderung des Familienverständnisses und der sozialen Integration;6+ Jahre;Gesprächsrunden über Familien, Familien-Rollenspiele, Familien-Bilderbücher vorlesen
Das Kind benennt Familienmitglieder und fragt nach den Bezeichnungen in anderen Familien.;Ethik und Gesellschaft;Gesellschaft;Familienverständnis;Förderung des Familienverständnisses und der sozialen Integration;5+ Jahre;Familien-Memory, Familien-Rollenspiele, Familien-Bilderbücher vorlesen
Das Kind erzählt von Erlebnissen außerhalb der Kita und fragt nach denen anderer Kinder.;Ethik und Gesellschaft;Gesellschaft;Soziale Interaktion;Förderung der sozialen Interaktion und des Erzählens;4+ Jahre;Gesprächsrunden über Erlebnisse, Rollenspiele mit Erlebnissen, Bilderbücher mit Erlebnissen
Das Kind hat noch wenig Erfahrung und Verständnis über verschiedene Familienformen;Ethik und Gesellschaft;Gesellschaft;Familienverständnis;Förderung des Verständnisses für verschiedene Familienformen;4+ Jahre;Bilderbücher über verschiedene Familienformen, Rollenspiele mit Familien, Gesprächsrunden
Das Kind weiß nicht, was seine Eltern arbeiten.;Ethik und Gesellschaft;Gesellschaft;Berufswelt;Förderung des Verständnisses für die Berufswelt und die soziale Realität;5+ Jahre;Rollenspiele mit Berufen, Bilderbücher über Berufe, Gesprächsrunden
Das Kind möchte Nachschlagewerke und Bücher über soziokulturelle Vielfalt weltweit nutzen und fragt nach Beispielen.;Ethik und Gesellschaft;Gesellschaft;Kulturelles Bewusstsein;Förderung des kulturellen Bewusstseins und des Verständnisses für Vielfalt;6+ Jahre;Rechercheprojekte mit Nachschlagewerken und Büchern, Ausstellung von Büchern, Gesprächsrunden über Kulturen
Das Kind fragt nach der Bedeutung von Identität und reflektiert über die eigene Identität.;Ethik und Gesellschaft;Gesellschaft;Identitätsentwicklung;Förderung der Identitätsentwicklung und des Selbstbewusstseins;6+ Jahre;Gesprächsrunden über Identität, Portfolioarbeit, Ich-Bücher gestalten.
Das Kind fragt nach der Bedeutung von Rollen in der Gruppe und reflektiert über die eigene Rolle.;Ethik und Gesellschaft;Gesellschaft;Rollenverständnis in der Gruppe;Förderung des Rollenverständnisses in der Gruppe und des sozialen Miteinanders;6+ Jahre;Gesprächsrunden über Rollen in der Gruppe, Rollenspiele mit Rollenverteilung, Gemeinschaftsprojekte.
Das Kind fragt nach der Bedeutung von Zugehörigkeit und reflektiert über die eigene Zugehörigkeit.;Ethik und Gesellschaft;Gesellschaft;Zugehörigkeitsgefühl;Förderung des Zugehörigkeitsgefühls und des sozialen Miteinanders;6+ Jahre;Gesprächsrunden über Zugehörigkeit, Gemeinschaftsprojekte, Rollenspiele mit Zugehörigkeitsszenen.
Das Kind fragt nach der Bedeutung von Selbstwirksamkeit und reflektiert über eigene Erfahrungen.;Ethik und Gesellschaft;Gesellschaft;Selbstwirksamkeit;Förderung der Selbstwirksamkeit und des Selbstbewusstseins;6+ Jahre;Gesprächsrunden über Selbstwirksamkeit, Portfolioarbeit, Ich-Bücher gestalten.
Das Kind fragt nach der Bedeutung von Resilienz und reflektiert über eigene Bewältigungsstrategien.;Ethik und Gesellschaft;Gesellschaft;Resilienz;Förderung der Resilienz und des Selbstbewusstseins;6+ Jahre;Gesprächsrunden über Resilienz, Rollenspiele mit schwierigen Situationen, Entspannungsübungen.
Das Kind zeigt Stolz auf die eigene Familie und erzählt davon;Ethik und Gesellschaft;Gesellschaft;Identitätsentwicklung;Förderung des Zugehörigkeitsgefühls und der Ich-Stärkung;3+ Jahre;"Familienfotos anschauen und darüber sprechen, ""Meine Familie""-Collage basteln, Erzählen von Familiengeschichten"
Das Kind rettet einen Regenwurm vom Gehweg und bringt ihn ins Gras.;Ethik und Gesellschaft;Ethik;Mitgefühl mit Tieren;Förderung von Empathie für Lebewesen und Verantwortungsbewusstsein;4+ Jahre;Regenwurmsafari, Tierretter-Spiel, Gesprächsrunde „Was brauchen Tiere?“
Das Kind fragt, warum Müll in der Wiese gefährlich für Tiere ist.;Ethik und Gesellschaft;Gesellschaft;Umweltbewusstsein;Förderung des Umweltbewusstseins und verantwortungsvollen Handelns;5+ Jahre;Müllsammelaktion, Bilderbuch über Tiergefahren, Naturschutz-Poster gestalten
Das Kind schlägt vor, Insektenhotels für den Garten zu bauen.;Ethik und Gesellschaft;Ethik;Artenschutz;Förderung des Verständnisses für Lebensräume und Artenvielfalt;5+ Jahre;Insektenhotel-Bau, Besuch im Schulgarten, Wildbienenprojekt
Das Kind möchte, dass alle das Licht im Gruppenraum ausschalten, wenn niemand dort ist.;Ethik und Gesellschaft;Gesellschaft;Ressourcenschonung;Förderung von Energieverantwortung und Nachhaltigkeit;6+ Jahre;Energiedetektiv-Rolle, Stromsparer-Plakate, Spiel „Wer schaltet richtig?“
Das Kind spricht traurig über einen verletzten Vogel, den es gesehen hat.;Ethik und Gesellschaft;Ethik;Mitgefühl mit Tieren;Förderung emotionaler Auseinandersetzung mit Tierleid;4+ Jahre;Tierschutzgeschichten, Erste-Hilfe-Spiel für Tiere, Kuscheltierpflege
Das Kind erzählt stolz, dass es zu Hause beim Kompostieren hilft.;Ethik und Gesellschaft;Gesellschaft;Umwelterziehung im Alltag;Förderung von nachhaltigem Denken in der Familie;5+ Jahre;Kompost-Station, Bioabfall-Sortierspiel, Bodenlebewesen entdecken
Das Kind fragt, warum man Tiere nicht im Zirkus halten sollte.;Ethik und Gesellschaft;Ethik;Tierrechte;Förderung des Verständnisses für artgerechte Tierhaltung;6+ Jahre;Tierrechtsbilderbuch, Pro-und-Contra-Spiel, Diskussion „Wo leben Tiere artgerecht?“
Das Kind sammelt eifrig Blätter, ohne Äste abzureißen.;Ethik und Gesellschaft;Ethik;Achtsamkeit gegenüber der Natur;Förderung von Respekt vor Pflanzen und natürlichen Lebensräumen;3+ Jahre;Blattmemory, Naturmandalas, Spaziergang mit Sammelregeln
Das Kind schlägt vor, für die Tiere im Winter Futter zu streuen.;Ethik und Gesellschaft;Ethik;Verantwortung für Tiere;Förderung von Fürsorge für Wildtiere und saisonalem Verständnis;4+ Jahre;Vogelfutter herstellen, Winter-Tiere beobachten, Kalenderpflege
Das Kind fragt nach, warum Plastikflaschen nicht ins Meer gehören.;Ethik und Gesellschaft;Gesellschaft;Müllvermeidung;Förderung ökologischer Verantwortung und globalen Denkens;5+ Jahre;Wasserkreislauf-Spiel, Müllreise-Geschichte, „Rette den Fisch“-Aktion
Das Kind will wissen, ob man Haustiere einfach kaufen darf.;Ethik und Gesellschaft;Ethik;Tierschutz;Förderung der kritischen Auseinandersetzung mit Tierhaltung;6+ Jahre;Haustierpflege-Station, Tierheimbesuch, Rollenspiel „Ich bin ein Haustier“
Das Kind setzt sich für eine verletzte Schnecke ein.;Ethik und Gesellschaft;Ethik;Mitgefühl mit Kleinstlebewesen;Förderung des Respekts für alle Lebewesen;4+ Jahre;Schneckenbeobachtung, Bau von Schneckenhäuschen, Gesprächsrunde „Jedes Tier zählt“
Das Kind schlägt vor, weniger Papier zu verbrauchen.;Ethik und Gesellschaft;Gesellschaft;Nachhaltiger Umgang mit Ressourcen;Förderung von umweltbewusstem Handeln im Alltag;5+ Jahre;Papierrecycling-Projekt, Basteln aus Restpapier, Achtsamkeitswürfel
Das Kind wundert sich, warum Bäume gefällt werden.;Ethik und Gesellschaft;Gesellschaft;Naturbewusstsein;;;
Das Kind fragt, warum manche Kinder andere Kleidung tragen müssen.;Ethik und Gesellschaft;Gesellschaft;Vielfalt und Respekt;Förderung von Verständnis für soziale Unterschiede;5+ Jahre;Mode-Gesprächsrunde, Kleidergeschichten aus aller Welt, Fotobuch „So leben Kinder“
Das Kind schlägt vor, dass ein Kind mit Behinderung beim Rollenspiel mitspielt.;Ethik und Gesellschaft;Gesellschaft;Gleichberechtigung;Förderung von Offenheit und Barrierebewusstsein;5+ Jahre;Rollenspiele mit Perspektivenwechsel, Bücher über Diversität, Gruppenprojekte
Das Kind stellt fest: „Der hat gar keine Jacke bei dem Wetter!“;Ethik und Gesellschaft;Gesellschaft;Fürsorge;Förderung von sozialer Aufmerksamkeit und Empathie;4+ Jahre;Puppenspiel über Sorge füreinander, Gespräch über Kleidung und Wetter, Kleiderbox-Aktion
Das Kind sagt: „Ich kann das nicht, ich bin zu arm für sowas.“;Ethik und Gesellschaft;Ethik;Soziale Herkunft;Förderung von Selbstwert unabhängig vom materiellen Status;5+ Jahre;„Was macht mich besonders?“-Plakate, Geschichten über Vielfalt, Anerkennung im Alltag
Das Kind fragt, warum es reiche und arme Menschen gibt.;Ethik und Gesellschaft;Ethik;Soziale Unterschiede;Förderung von kindgerechtem Nachdenken über soziale Gerechtigkeit;6+ Jahre;Bilderbücher über Arm und Reich, Gespräch „Was ist gerecht?“, Rollenspiel „Was brauche ich zum Leben?“
Das Kind besteht darauf, dass alle beim Spiel die gleichen Regeln haben.;Ethik und Gesellschaft;Gesellschaft;Regelbewusstsein;Förderung von Regelklarheit und Gerechtigkeit;4+ Jahre;Regeln gemeinsam visualisieren, Rollenspiel „Neue Regeln machen“, Abstimmungen
Das Kind sagt: „Wir haben zu viele Bälle – andere Gruppen brauchen auch welche.“;Ethik und Gesellschaft;Ethik;Ressourcenteilung;Förderung von Solidarität über Gruppengrenzen hinaus;5+ Jahre;Materialtausch-Aktion, Spiel über Teilen, Gespräch über „Was brauchen andere?“
Das Kind fragt, warum Kinder in anderen Ländern nicht zur Schule gehen.;Ethik und Gesellschaft;Ethik;Globale Gerechtigkeit;Förderung von Verständnis für weltweite Unterschiede;6+ Jahre;Weltkartenarbeit, Kinderrechte-Projekt, Gespräch über Bildung weltweit
Das Kind sorgt dafür, dass ein Kind mit Sprachbarriere mitspielen kann.;Ethik und Gesellschaft;Gesellschaft;Inklusion und Sprache;Förderung von Kommunikationsverantwortung und Empathie;5+ Jahre;Mehrsprachige Spiele, „So sag ich’s“-Karten, Dolmetscher-Kind-Aktion
Das Kind möchte, dass Spielgeräte auch für kleine Kinder zugänglich sind.;Ethik und Gesellschaft;Gesellschaft;Barrierefreiheit;Förderung von Bewusstsein für Bedürfnisse anderer Altersgruppen;4+ Jahre;Beobachtungsauftrag „Was können alle nutzen?“, Gespräch über Hürden, Umbauideen gemeinsam sammeln
Das Kind lehnt es ab, dass jemand „nur wegen seiner Kleidung“ ausgeschlossen wird.;Ethik und Gesellschaft;Gesellschaft;Diskriminierungserkennung;Förderung von sozialer Gerechtigkeit und Toleranz;5+ Jahre;Kleider-Geschichten, Gesprächsrunde über Ausgrenzung, Rollenspiel „Was zählt wirklich?“
Das Kind stellt fest: „Wir haben viel – andere haben wenig.“;Ethik und Gesellschaft;Ethik;Teilen lernen;Förderung von Verantwortungsbewusstsein für soziales Handeln;5+ Jahre;Spendenaktion, Spiel „Was ist fair?“, Geschichte „Die geteilte Banane“
Das Kind möchte, dass bei der Essensausgabe gerecht aufgeteilt wird.;Ethik und Gesellschaft;Gesellschaft;Gleichverteilung;Förderung von Achtsamkeit für gerechte Portionen;3+ Jahre;Essensverteilung mit Schöpfsystem, Kinder als Portionier-Helfer*innen, Gespräch über „genug für alle“
Das Kind fragt, warum manche Menschen auf der Straße schlafen müssen.;Ethik und Gesellschaft;Gesellschaft;Soziale Ungleichheit;Förderung von Mitgefühl und Bewusstsein für soziale Unterschiede;5+ Jahre;Geschichten über Armut, Gespräch „Wie wohnen Menschen?“, Ausflug zu Hilfseinrichtungen
Das Kind schlägt vor, übrig gebliebenes Essen nicht wegzuwerfen.;Ethik und Gesellschaft;Ethik;Verantwortung für Ressourcen;Förderung von Nachhaltigkeit und Wertschätzung;4+ Jahre;Reste-Rezepte kochen, „Wert des Essens“-Plakat, Kompostprojekt
Das Kind fragt, warum ein Mädchen kein Feuerwehrmann werden darf.;Ethik und Gesellschaft;Gesellschaft;Geschlechtergerechtigkeit;Förderung der Auseinandersetzung mit Rollenbildern;5+ Jahre;Rollenspiel mit Berufsvielfalt, Gespräch über Berufe, Bücher zu Mädchen und Technik
Das Kind möchte bei der Gruppenentscheidung mitbestimmen.;Ethik und Gesellschaft;Gesellschaft;Partizipation;Förderung demokratischer Strukturen im Alltag;4+ Jahre;Kinderparlament, Abstimmungen im Morgenkreis, Entscheidungslösungen visualisieren
Das Kind sagt: „Alle sollen sagen dürfen, was sie denken.“;Ethik und Gesellschaft;Ethik;Meinungsfreiheit;Förderung von freier Meinungsäußerung und Respekt;5+ Jahre;Diskussionsrunden, Redekreis mit Redezeichen, Gespräch über freie Rede
Das Kind fragt nach, warum es unterschiedliche Religionen gibt.;Ethik und Gesellschaft;Ethik;Religiöse Vielfalt;Förderung interkultureller Offenheit und Toleranz;4+ Jahre;Religions-Poster, Feste der Welt feiern, Gespräch über Glaubenssymbole
Das Kind sagt: „Das ist unfair!“ und möchte Gerechtigkeit.;Ethik und Gesellschaft;Ethik;Gerechtigkeitsempfinden;Förderung von Fairness und sozialer Sensibilität;3+ Jahre;Gerechtigkeitsspiel, Bücher wie „Das ist nicht fair!“, Streitschlichtungskarten
Das Kind erzählt, dass es sich schämt, dass sein Papa kein Auto hat.;Ethik und Gesellschaft;Gesellschaft;Konsumverzicht;Förderung von Akzeptanz unterschiedlicher Lebensrealitäten;5+ Jahre;Geschichten über verschiedene Lebensstile, Gespräch „Was ist wirklich wichtig?“
Das Kind bemerkt, dass beim Basteln immer die gleichen Kinder zuerst drankommen.;Ethik und Gesellschaft;Gesellschaft;Chancengleichheit;Förderung der Sensibilität für gerechte Abläufe;4+ Jahre;Abwechselkarten, Zufallswähler, Gesprächsrunde „Reihung und Fairness“
Das Kind fragt, warum manche Kinder kein Frühstück mitbringen.;Ethik und Gesellschaft;Gesellschaft;Armut und Versorgung;Förderung der Solidarität und Aufmerksamkeit;5+ Jahre;Frühstück für alle, Spendenfrühstück, Bücher über Kinder in Not
Das Kind besteht darauf, dass Regeln für alle gelten.;Ethik und Gesellschaft;Ethik;Regelbewusstsein;Förderung von Verbindlichkeit und Gerechtigkeit;4+ Jahre;Regelplakate, Regelabstimmungen, Rollenspiele zu Regelverstößen
Das Kind hilft beim Sortieren von Altpapier und erklärt, warum Recycling wichtig ist.;Ethik und Gesellschaft;Ethik;Umweltbewusstsein;Förderung von Verantwortungsgefühl für die Natur;3+ Jahre;Recyclingprojekt, Mülltrennstation, Upcycling-Bastelwerkstatt
Das Kind möchte wissen, warum es Kriege gibt.;Ethik und Gesellschaft;Ethik;Frieden und Konflikt;Förderung von Friedensbewusstsein und kritischem Denken;5+ Jahre;Friedensbilder malen, Geschichte „Friedenskind“, Friedensbaum gestalten
Das Kind fragt, warum Menschen aus einem anderen Land hier leben.;Ethik und Gesellschaft;Gesellschaft;Migration verstehen;Förderung von Weltoffenheit und Empathie;4+ Jahre;Familiengeschichten erzählen, Weltkartenarbeit, Gespräch „Wie war deine Reise?“
Das Kind schlägt vor, einem traurigen Kind eine Nachricht zu schreiben.;Ethik und Gesellschaft;Ethik;Mitgefühl im Alltag;Förderung von sozialem Verantwortungsgefühl;3+ Jahre;Mutmachkarten, Briefkasten für gute Gedanken, Geschichten über Hilfsbereitschaft
Das Kind findet es ungerecht, dass nur Kinder mit Markenjacken beliebt sind.;Ethik und Gesellschaft;Gesellschaft;Konsumkritik;Förderung von Werten jenseits von Statussymbolen;5+ Jahre;Kleidertausch, Gespräche über Werbung, Buch „Mein Pulli ist nicht cool?“
Das Kind fragt, warum Tiere nicht sprechen dürfen, wenn wir über den Zoo reden.;Ethik und Gesellschaft;Ethik;Tierrechte;Förderung des Verständnisses für tierethische Fragen;4+ Jahre;Tierethik-Gespräch, Rollenspiel „Tieranwälte“, Besuch im Tierheim
Das Kind bemerkt, dass die Mülltonne überquillt, und ruft nach einer Lösung.;Ethik und Gesellschaft;Ethik;Verantwortung im Alltag;Förderung von Handlungsbereitschaft und Achtsamkeit;4+ Jahre;Müllprojekt starten, Kompost anlegen, Verantwortungstage
Das Kind stellt fest, dass in einem Bilderbuch nur weiße Kinder gezeigt werden.;Ethik und Gesellschaft;Gesellschaft;Diversitätsbewusstsein;Förderung von Sichtbarkeit und Vielfalt;5+ Jahre;Bücher mit Vielfalt analysieren, eigene Bildgeschichten gestalten, Diversity-Checkliste
Das Kind möchte nicht mitspielen, wenn ein anderes Kind ausgeschlossen wird.;Ethik und Gesellschaft;Ethik;Solidarisches Handeln;Förderung von Zivilcourage und Gruppenzusammenhalt;4+ Jahre;Rollenspiel Ausgrenzung, Geschichten über Mut, Gesprächsrunde „Alle oder keiner?“
Das Kind fragt, ob es helfen kann, weil die Fachkraft überlastet wirkt.;Ethik und Gesellschaft;Ethik;Empathie für Erwachsene;Förderung von Mitverantwortung und sozialen Blickwinkeln;5+ Jahre;Rollenwechselspiele, Alltagshilfeplan, Gespräche über „Wer hilft wem?“
Das Kind erkennt bei einem Streit, dass gegenseitiges Zuhören fehlt.;Ethik und Gesellschaft;Ethik;Dialogfähigkeit;Förderung von respektvollem Gesprächsverhalten;4+ Jahre;Sprechstein einsetzen, Zuhör-Trainings, Geschichten vom „Nicht-Zuhörer“
Das Kind sagt: „Wir müssen auch an Tiere denken, wenn wir bauen.“;Ethik und Gesellschaft;Ethik;Ökologische Verantwortung;Förderung von Mitdenken über Mensch und Umwelt;5+ Jahre;Bauprojekte mit Rücksicht, Insektenhotels, Wildwiesen-Aktion
Das Kind äußert: „Man sollte teilen, wenn jemand nichts hat.“;Ethik und Gesellschaft;Ethik;Gerechtigkeit und Solidarität;Förderung von Gemeinsinn und Achtsamkeit;3+ Jahre;Teilen-Stationen, Geschichten wie „Der halbe Apfel“, Erzählsteine zu Gerechtigkeit
Das Kind fragt, warum Jungs keine Röcke tragen dürfen.;Ethik und Gesellschaft;Gesellschaft;Geschlechterrollen hinterfragen;Förderung von Rollenvielfalt und Gleichwertigkeit;5+ Jahre;Kleidertag ohne Grenzen, Gesprächsrunde „Wer darf was tragen?“, Geschichten zu Gender
Das Kind beobachtet eine Handlung, die anderen schadet, und benennt sie als „nicht okay“.;Ethik und Gesellschaft;Ethik;Moralisches Urteilsvermögen;Förderung von Unterscheidung zwischen richtig und falsch;4+ Jahre;Fallgeschichten diskutieren, Wertebilder malen, Abstimmungen im Kreis
Das Kind möchte, dass niemand ausgelacht wird.;Ethik und Gesellschaft;Gesellschaft;Respekt und Menschenwürde;Förderung von Achtung und sozialem Umgang;3+ Jahre;Lob-Karten, „Was macht gute Freunde aus?“, Bücher über Auslachen
Das Kind nennt verschiedene Herkunftsländer seiner Freunde und sagt: „Alle sind gut.“;Ethik und Gesellschaft;Gesellschaft;Wertschätzung von Herkunft;Förderung von Toleranz und Gemeinschaftsgefühl;4+ Jahre;Weltkartenarbeit, Steckbriefe zur Herkunft, „Meine Kultur“-Tischdecke
Das Kind äußert, dass Tiere genauso ein Zuhause brauchen wie Menschen.;Ethik und Gesellschaft;Ethik;Tierschutzgedanke;Förderung von Mitverantwortung für Lebewesen;4+ Jahre;Tierpatenschaft, Haustiergeschichten, Tierbilder gestalten
Das Kind schlägt vor, dass jeder einmal im Monat erzählen darf, was ihm wichtig ist.;Ethik und Gesellschaft;Gesellschaft;Beteiligung;Förderung von aktiver Teilhabe am Gruppengeschehen;4+ Jahre;Monatsrunden, Ich-Bin-Dran-Karte, Präsentation im Kreis
Das Kind fragt, warum Müll im Wald schlecht für Tiere ist.;Ethik und Gesellschaft;Ethik;Naturschutz;Förderung des Umweltbewusstseins und Verantwortungsgefühls;4+ Jahre;Waldtage, Müllsammelaktionen, Gesprächsrunden zu Tier- und Naturschutz
Das Kind äußert: „Ich finde es nicht gut, dass der Hund weggesperrt wird.“;Ethik und Gesellschaft;Ethik;Tierschutz;Förderung von Empathie und Verantwortung gegenüber Tieren;4+ Jahre;Tierethik-Geschichten, Rollenspiel „Tieranwalt“, Haustier-Vorstellungsrunde
Das Kind schlägt vor, Tiere im Tierheim zu besuchen.;Ethik und Gesellschaft;Ethik;Soziales Engagement;Förderung von Mitgefühl und aktiver Hilfe;5+ Jahre;Besuch im Tierheim, Spendenaktionen, Patenschaft für Tiere
Das Kind erzählt, dass seine Oma aus einem anderen Land kommt und möchte mehr über das Land erfahren.;Ethik und Gesellschaft;Gesellschaft;Interkulturalität;Förderung von Offenheit und Familienbewusstsein;3+ Jahre;Familienplakat, Landkartenarbeit, Geschichten aus verschiedenen Kulturen
Das Kind lehnt es ab, dass jemand wegen seiner Sprache ausgelacht wird.;Ethik und Gesellschaft;Gesellschaft;Sprachvielfalt;Förderung von Respekt gegenüber Mehrsprachigkeit;4+ Jahre;Sprachen vorstellen, Wörter sammeln, Begrüßung in vielen Sprachen
Das Kind sagt: „Ich will, dass niemand traurig ist, weil er ausgeschlossen wird.“;Ethik und Gesellschaft;Ethik;Solidarität;Förderung von sozialer Verantwortung und Zusammenhalt;4+ Jahre;Geschichten zu Zusammenhalt, Gespräch über Ausgrenzung, „Wir-Gefühl“-Kreis
Das Kind erkennt, dass manche Tiere gefährdet sind und möchte sie schützen.;Ethik und Gesellschaft;Ethik;Artenschutz;Förderung des Verständnisses für Biodiversität und Verantwortung;5+ Jahre;Plakataktion „Schützt die Tiere!“, Patentiere vorstellen, Artenschutz-Wandzeitung
Das Kind stellt Fragen zu Unterschieden in Religionen und Feiertagen.;Ethik und Gesellschaft;Ethik;Religiöse Toleranz;Förderung interreligiöser Bildung und Dialogbereitschaft;5+ Jahre;Feiertage besprechen, religiöse Gegenstände zeigen, „Feste der Welt“-Wand
Das Kind sagt: „Wir sollten den Baum nicht fällen, da wohnen Vögel drin.“;Ethik und Gesellschaft;Ethik;Naturbewusstsein;Förderung des Verständnisses für ökologische Zusammenhänge;4+ Jahre;Baumbeobachtung, Nistkästen bauen, Tierwohnräume erkunden
Das Kind fragt, warum manche Menschen mit Rollstuhl Hilfe brauchen.;Ethik und Gesellschaft;Gesellschaft;Inklusion;Förderung von Verständnis für Vielfalt und Barrierefreiheit;4+ Jahre;Rollstuhlparcours, Gespräch „Was heißt Inklusion?“, Kinderbuch „Alle sind anders“
Das Kind meint: „Wir sollten nicht alles neu kaufen, sondern reparieren.“;Ethik und Gesellschaft;Ethik;Nachhaltigkeit;Förderung eines verantwortungsvollen Umgangs mit Ressourcen;5+ Jahre;Werkstatt-Tage, Reparaturcafé für Kinder, Basteln aus Restmaterial
Das Kind möchte wissen, wie Kinder in anderen Ländern leben.;Ethik und Gesellschaft;Gesellschaft;Globales Lernen;Förderung von Perspektivübernahme und Weltoffenheit;4+ Jahre;Kinderporträts aus aller Welt, Gesprächsrunde „So leben Kinder“, Weltkugelarbeit
Das Kind sagt: „Man kann auch ohne Geld glücklich sein.“;Ethik und Gesellschaft;Ethik;Werteorientierung;Förderung von Reflexion über materielle und immaterielle Werte;5+ Jahre;Werteschachtel basteln, Geschichten über Glück, „Was ist mir wichtig?“-Plakat
Das Kind fragt, warum man keine Tiere zum Spaß jagen darf.;Ethik und Gesellschaft;Ethik;Tierethik;Förderung moralischer Urteilsfähigkeit in Bezug auf Tiere;5+ Jahre;Tierschutzgeschichten, „Tiere haben Rechte“-Plakat, Diskussion zu Jagd
Das Kind sagt: „Wir sollten Spielzeug, das wir nicht mehr brauchen, verschenken.“;Ethik und Gesellschaft;Ethik;Teilen und Weitergeben;Förderung von Großzügigkeit und Nachhaltigkeit;4+ Jahre;Tauschregal, Spielzeugmarkt, Geschichte „Das geteilte Spielzeug“
Das Kind bemerkt, dass in einem Bilderbuch nur Männer gezeigt werden, die arbeiten.;Ethik und Gesellschaft;Gesellschaft;Gleichstellung;Förderung von Gleichberechtigung und Rollenvielfalt;5+ Jahre;Bücher analysieren, Berufe malen, Rollentausch-Tag
Das Kind fragt, warum es in manchen Ländern keine Schule gibt.;Ethik und Gesellschaft;Gesellschaft;Bildungsgerechtigkeit;Förderung globaler Verantwortung und Bildungsbewusstsein;5+ Jahre;Schultag weltweit, Geschichten aus anderen Ländern, Bildungsspiel
Das Kind fragt, ob Tiere auch Rechte haben.;Ethik und Gesellschaft;Ethik;Tierrechte;Förderung des Verständnisses von Rechten und Gerechtigkeit;5+ Jahre;Tierrechtsplakat, Geschichten aus Tiersicht, Besuch bei einem Tierschutzverein
