Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind äußert nach einem Streit: „Ich war aber auch ein bisschen gemein“;Emotionen und soziale Beziehungen; Emotionen; Selbstreflexion; Förderung von Einsicht und Emotionsverarbeitung; 5+ Jahre; Streitprotokolle malen, „Was war mein Anteil?“-Gesprächsrunden, Emotionsgeschichten analysieren
Das Kind zeigt sich nach einem Konflikt zurückgezogen und ruhig;Emotionen und soziale Beziehungen; Emotionen; Rückzug nach Streit; Förderung von sensibler Konfliktnachbereitung; 3+ Jahre; Rückzugsorte anbieten, ruhige Gesprächsangebote, Bücher über Wiederversöhnung
Das Kind sagt: „Ich will heute nicht mit XY spielen“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Auswahl von Spielpartnern; Förderung von Selbstbestimmung und sozialer Kommunikation; 4+ Jahre; Gespräch über Spielwahl, „Wer passt wann zu mir“-Übung, Interessenplakate
Das Kind nimmt Rücksicht und lässt ein jüngeres Kind vor;Emotionen und soziale Beziehungen; Soziale Beziehungen; Altersbewusstsein; Förderung von Verantwortung und Respekt; 4+ Jahre; „Große helfen Kleinen“-Projekte, Patenschaften, Rollenspiele mit Altersunterschieden
Das Kind sagt bei einem Streit: „Ich zähl bis 3, dann tauschen wir“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Konfliktbewältigung durch Verhandlung; Förderung von Selbstwirksamkeit und Kompromissfähigkeit; 5+ Jahre; Kompromiss-Karten, Streitregelposter, Aushandlungsgeschichten
Das Kind fragt ein anderes Kind: „Willst du mit mir bauen?“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Kontaktaufnahme; Förderung von sozialem Mut und Interaktion; 3+ Jahre; Einladungskarten basteln, „Spiel mich an“-Lied, Bauspielprojekte in Partnerarbeit
Das Kind schlägt ein Kooperationsspiel vor;Emotionen und soziale Beziehungen; Soziale Beziehungen; Teamverhalten; Förderung von Zusammenarbeit und Zielorientierung; 5+ Jahre; Kooperationsspiele, Gruppenspiele mit Ziel, Teambau-Projekte
Das Kind lacht über ein anderes Kind und sagt: „Das war komisch!“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Respekt und Grenzachtung; Förderung von Achtsamkeit und Rücksicht; 4+ Jahre; Gespräch über verletzende Worte, Emotionsgesichter, „Worte, die gut tun“-Kartei
Das Kind bemerkt, dass jemand traurig ist, und sagt: „Ich spiel mit dir“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Empathie; Förderung von Mitgefühl und sozialem Einschätzen; 3+ Jahre; Gefühlsbildkarten, Partnerübungen „Wie fühlst du dich?“, Gesprächsrunden über Trösten
Das Kind entwickelt Spielregeln, damit ein Streit vermieden wird;Emotionen und soziale Beziehungen; Soziale Beziehungen; Regelverständnis; Förderung von Sozialstrukturierung und Aushandlung; 5+ Jahre; Regelwerk gemeinsam schreiben, Regeln-Memory, Spielregel-Erfinderwerkstatt
Das Kind beobachtet andere beim Spielen und wartet, bis es eingeladen wird;Emotionen und soziale Beziehungen; Emotionen; Sozialer Rückzug; Förderung von Wahrnehmung und Zugehörigkeit; 4+ Jahre; Gespräch über Mitspielen, Einladungskarten selbst gestalten, Gruppenspiele
Das Kind sagt: „Ich hab das Spiel nicht verstanden“ und fragt um Hilfe;Emotionen und soziale Beziehungen; Emotionen; Unsicherheit überwinden; Förderung von Kommunikationsbereitschaft und Selbstwirksamkeit; 4+ Jahre; „Fragen macht stark“-Rituale, Rollenspiele um Hilfe bitten, Mitmachgeschichten
Das Kind erzählt einer Fachkraft von einem Konflikt mit einem Freund;Emotionen und soziale Beziehungen; Emotionen; Konfliktverarbeitung; Förderung von Vertrauensaufbau und verbaler Verarbeitung; 4+ Jahre; Erzählkreise, Gefühlstagebuch, Reflexionskärtchen
Das Kind lobt ein anderes Kind: „Das hast du gut gemacht“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Anerkennung; Förderung von Wertschätzung und sozialem Miteinander; 3+ Jahre; „Lob-Kärtchen“, Dankeschön-Buch, Gemeinschaftsprojekte mit Feedbackrunde
Das Kind stellt fest: „Früher war XY mein Freund, jetzt nicht mehr“;Emotionen und soziale Beziehungen; Emotionen; Beziehungserleben; Förderung von Reflexion über Freundschaftsdynamiken; 5+ Jahre; Freundschaftszeiten-Malbuch, Gespräch über Veränderung, Beziehungscollage
Das Kind übernimmt im Rollenspiel die Rolle einer Ärztin und versorgt ein verletztes Stofftier;Emotionen und soziale Beziehungen; Soziale Beziehungen; Fürsorgeverhalten; Förderung von Empathie und Rollenverständnis; 4+ Jahre; Rollenspiele mit Arztkoffer, Gespräch über Pflegeberufe, Bilderbuch „Ich bin Ärztin“
Das Kind sagt im Rollenspiel: „Ich bin die Mama, du musst jetzt ins Bett“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Familiäre Rollen; Förderung von Perspektivübernahme und Beziehungsverständnis; 3+ Jahre; Rollenspiele zur Familie, Puppenecke, Alltagsgespräche über Familienstrukturen
Das Kind fordert im Rollenspiel: „Du darfst auch entscheiden, was wir spielen“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Mitbestimmung; Förderung von Fairness und demokratischem Verhalten; 5+ Jahre; Entscheidungsrollenspiele, Mitmachgeschichten, Gespräch über Gleichberechtigung
Das Kind übernimmt freiwillig im Rollenspiel die Rolle des „Verlierers“;Emotionen und soziale Beziehungen; Emotionen; Umgang mit Rollenvielfalt; Förderung von Akzeptanz und Flexibilität; 5+ Jahre; „Rollenwechsel“-Spiele, Gesprächsrunden über verschiedene Rollen, Theaterübungen
Das Kind spielt mit Begeisterung Verkäuferin und berät andere Kinder;Emotionen und soziale Beziehungen; Soziale Beziehungen; Kommunikation in Rollen; Förderung von Ausdrucksfähigkeit und Kundenorientierung; 4+ Jahre; Einkaufsladen-Spiel, Preisetiketten gestalten, „Markttag“ inszenieren
Das Kind sagt: „Ich bin der Chef, ihr müsst hören!“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Machtausübung im Spiel; Förderung von Rollenkritik und Gespräch über Führung; 5+ Jahre; Reflexion im Stuhlkreis, Rollentauschspiele, Gespräch über gute und schlechte Chefs
Das Kind bittet im Rollenspiel höflich: „Darf ich mitspielen?“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Kontaktaufnahme; Förderung von sozialen Regeln und Zugehörigkeit; 3+ Jahre; Rollenspiele zur Begrüßung, Einladungslieder, Gespräch über Mitspielen
"Das Kind spricht ein anderes Kind im Spiel mit ""Herr Lehrer"" an";Emotionen und soziale Beziehungen; Soziale Beziehungen; Institutionelle Rollen; Förderung von Rollenerkennung und sozialem Verständnis; 4+ Jahre; Schulszenarien nachspielen, Lehrer-Kind-Rollenspiel, Tafelspiel
Das Kind übernimmt im Rollenspiel die Rolle des Babys und wird gefüttert;Emotionen und soziale Beziehungen; Emotionen; Bedürfnisdarstellung; Förderung von Rückzugsmöglichkeiten und Fürsorgestrategien; 3+ Jahre; Babypuppen, Pflegesets, ruhige Spielsituationen gestalten
Das Kind sagt: „Ich will mal die Polizistin sein“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Geschlechterrollen; Förderung von Gleichberechtigung und Rollenvielfalt; 5+ Jahre; Rollenbilder reflektieren, Bilderbücher über starke Mädchen, Polizeirucksack im Rollenspielbereich
Das Kind ruft beim Rollenspiel: „Das war nicht fair!“ und fordert neue Regeln;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gerechtigkeitsempfinden; Förderung von Regelverständnis und Fairness; 5+ Jahre; Spielregeln mit Kindern entwickeln, Gerechtigkeitsspiel, Abstimmung in Rollenspielen
Das Kind entscheidet im Spiel, dass alle einen Umhang bekommen dürfen;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gleichbehandlung; Förderung von Inklusion und Wertschätzung; 4+ Jahre; Superhelden-Rollenspiel, Kostümkiste, Gespräch über Gleichheit
Das Kind beobachtet lange, bevor es in ein Rollenspiel einsteigt;Emotionen und soziale Beziehungen; Emotionen; Soziale Vorsicht; Förderung von Selbstsicherheit und Eingliederung; 3+ Jahre; Einladungskarten für Rollenspiele, Begrüßungsrituale, Beobachtungsrolle respektieren
Das Kind sagt im Spiel: „Ich will heute mal der Papa sein“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Rollenwechsel; Förderung von Flexibilität und Perspektivenvielfalt; 3+ Jahre; Rollenwürfelspiel, Alltagsszenen nachspielen, Vater-Kind-Gesprächsrunden
Das Kind besteht darauf, dass „der Hund“ auch einen Napf bekommt;Emotionen und soziale Beziehungen; Soziale Beziehungen; Verantwortungsübernahme; Förderung von Einfühlungsvermögen und Fürsorglichkeit; 4+ Jahre; Rollenspiele mit Tierfiguren, Gespräch über Haustiere, Tierarzt-Spiel
Das Kind spielt Lehrerin und erklärt anderen Kindern Buchstaben;Emotionen und soziale Beziehungen;Soziale Beziehungen; Wissensvermittlung im Spiel; Förderung von Ausdrucksfähigkeit und Rollenreflexion; 5+ Jahre; Klassenzimmer-Spiel, Tafel und Arbeitsblätter im Rollenspiel
Das Kind ruft beim Rollenspiel: „Ich will das Baby retten, ich bin der Feuerwehrmann!“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Hilfsbereitschaft; Förderung von Selbstwirksamkeit und Mut; 4+ Jahre; Rettungsspiele, Helden-Geschichten, Notruf-Training im Spiel
Das Kind fordert ein Kind auf: „Jetzt bist du die Bäuerin, ich bin das Huhn“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Aushandlung im Spiel; Förderung von sozialer Verständigung und Kooperationsfähigkeit; 4+ Jahre; Bauernhof-Spiel, Tierkostüme, Geschichten vom Bauernhof
Das Kind zieht ein Hochzeitskleid an und sagt: „Ich heirate heute“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Rollensymbolik; Förderung von Ausdruck von Beziehungen und Lebensplänen; 5+ Jahre; Verkleidungsecke, „Hochzeitsfeier“ im Spiel, Gespräch über Feste und Rituale
Das Kind spielt mit einer Puppe Arztbesuch nach und sagt: „Sie haben Fieber“;Emotionen und soziale Beziehungen; Soziale Beziehungen; Gesundheitsrollen; Förderung von Körperwissen und Einfühlungsvermögen; 3+ Jahre; Arztpraxis-Ecke, Bücher über den Körper, Gespräch über Krankheiten
Das Kind spielt eine Geschichte nach, in der jemand gerettet wird;Emotionen und soziale Beziehungen; Emotionen; Rettungsszenarien; Förderung von Handlungssicherheit und Fürsorge; 5+ Jahre; Rollenspiel mit Decken und Tüchern, Erzähltheater, Erste-Hilfe-Spiel
Das Kind ärgert sich darüber, dass es im Morgenkreis nur einmal dran gekommen ist.;Emotionen und soziale Beziehungen;Emotionen;Gerechtigkeitsverständnis, Rücksicht;Das Kind entwickelt ein Verständnis für Fairness und soziale Regeln, indem es lernt, dass jeder in der Gruppe gleichermaßen berücksichtigt wird und sich abwechseln darf.;4+;Kinderparlament, Abstimmungen, Begrüßungslieder, Rollenspiele zur Fairness.
Das Kind hilft einem jüngeren Kind, das beim Anziehen Schwierigkeiten hat.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Hilfsbereitschaft, Empathie;Das Kind lernt, anderen zu helfen und Unterstützung anzubieten.;3+;Helfer des Tages bestimmen, „Wir helfen uns“-Spiel, Partnerübungen.
Das Kind nimmt einem anderen Kind ein Spielzeug weg.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktlösung;Das Kind lernt, Streit friedlich zu lösen und Alternativen zu finden.;3+;Stopp-Regel üben, Bilderbuch „Der kleine Streit“, Konfliktschulung durch Handpuppen.
Das Kind bemerkt, dass ein anderes Kind traurig ist, und fragt nach dem Grund.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Emotionale Kompetenz;Das Kind entwickelt Mitgefühl und Verständnis für die Gefühle anderer.;4+;Emotionskarten nutzen, Gefühlsgeschichten erzählen, Rollenspiele zur Empathie.
Das Kind beschwert sich, dass ein anderes Kind geschummelt hat.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Ehrlichkeit, Fairplay;Das Kind lernt, warum Ehrlichkeit wichtig ist und wie man Konflikte anspricht.;4+;Brettspiele mit Fairnessregeln, Geschichten über Ehrlichkeit, „Was wäre, wenn?“-Fragen diskutieren.
Das Kind will immer als Erstes etwas erzählen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Zuhören und Geduld;Das Kind lernt, Gesprächsregeln einzuhalten und anderen zuzuhören.;4+;Redestein nutzen, Stille-Übungen, Partnergespräche mit Zuhör-Regel.
Das Kind schimpft über einen Spielkameraden, weil dieser nicht teilt.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Teilen;Das Kind versteht, warum Teilen wichtig ist und wie man gemeinsam spielt.;3+;Teilen üben mit Gruppenspielen, Vorlesegeschichte „Das geteilte Stück Kuchen“, Kooperationsspiele.
Das Kind zieht ein anderes Kind grob vom Klettergerüst herunter.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Körperliche Grenzen;Das Kind lernt, die Grenzen anderer zu respektieren.;3+;Stopp-Regel üben, Körperwahrnehmungsspiele, Bilderbuch „Meine Grenzen, deine Grenzen“.
Das Kind freut sich, wenn alle zusammen eine Aufgabe erledigen.;Emotionen und soziale Beziehungen;Emotionen;Teamarbeit;Das Kind erfährt, wie wichtig Zusammenarbeit ist.;4+;Gemeinsames Bauen mit Bauklötzen, Staffelspiele, Gruppenkunstwerk gestalten.
Das Kind fühlt sich ungerecht behandelt, weil es als Letztes dran ist.;Emotionen und soziale Beziehungen;Emotionen;Geduld;Das Kind lernt, dass alle irgendwann an der Reihe sind.;3+;Sanduhren für Wartezeiten, Warteschlangen-Spiel, Geschichte „Immer der Letzte“.
Das Kind möchte alleine bestimmen, was gespielt wird.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kompromisse;Das Kind versteht, dass in der Gruppe alle mitentscheiden dürfen.;4+;Abstimmungen über Spiele, Kooperative Spiele, Bilderbuch „Wir entscheiden zusammen“.
Das Kind beschwert sich, dass andere Kinder nicht mit ihm spielen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Integration;Das Kind lernt, wie man andere ins Spiel einbezieht.;3+;„Kann ich mitspielen?“-Rollenspiele, Freundschaftsarmbänder basteln, Partnerwechsel-Spiel.
Das Kind tröstet ein anderes Kind, das weint.;Emotionen und soziale Beziehungen;Emotionen;Empathie, Mitgefühl;Entwicklung von Mitgefühl und sozialer Verantwortung.;3+ Jahre;„Gefühlsbarometer“ gestalten, Rollenspiele mit Handpuppen, Bilderbuch „Wie fühlst du dich?“.
Das Kind teilt seine Spielsachen mit anderen Kindern.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Teilen, Kooperation;Förderung von Kooperationsbereitschaft und sozialem Miteinander.;3+ Jahre;Kreisspiel „Wir teilen“, Geschichten über Teilen, gemeinsames Picknick mit aufgeteiltem Essen.
Das Kind hilft mit, den Tisch zu decken, ohne gefragt zu werden.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Verantwortung;Das Kind lernt, dass es Aufgaben übernehmen kann.;3+;„Helfer des Tages“, Verantwortung für Pflanzen übernehmen, Kochen in der Gruppe.
Das Kind hilft einem jüngeren Kind beim Anziehen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Hilfsbereitschaft, Unterstützung;Entwicklung von Hilfsbereitschaft und Verantwortungsbewusstsein.;4+ Jahre;Helfersystem einführen, Puppen gemeinsam anziehen, „Ich helfe dir“-Lieder singen.
Das Kind hält sich an vereinbarte Regeln im Spiel.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Regelverständnis, Fairness;Entwicklung von Regelverständnis und Fairness.;4+ Jahre;Kooperationsspiele, eigene Spielregeln entwickeln, Abstimmung über Regeln in der Gruppe.
Das Kind entschuldigt sich, wenn es ein anderes Kind verletzt hat.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktlösung, Reue;Entwicklung von Konfliktlösungskompetenz und Verantwortungsbewusstsein.;4+ Jahre;Konfliktkarten mit Lösungsstrategien, „Zauberwort“-Geschichten, Gefühle-Rollenspiele.
Das Kind äußert seine Meinung in der Gruppe.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Meinungsbildung, Partizipation;Förderung von Meinungsbildung und Partizipation.;5+ Jahre;Kinderparlament, Diskussion über Lieblingsthemen, „Meine Stimme zählt“-Projekt.
Das Kind akzeptiert, dass andere Kinder andere Meinungen haben.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Toleranz, Respekt;Entwicklung von Toleranz und Respekt.;5+ Jahre;Debattenspiele, „Ich sehe das anders“-Übungen, Geschichten über verschiedene Perspektiven.
Das Kind bemerkt, wenn jemand traurig ist, und fragt, was los ist.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Empathie, Mitgefühl;Förderung von Empathie und sozialem Feingefühl.;3+ Jahre;Bilderbuch „Heute bin ich traurig“, Gefühle-Pantomime, Kuschelecke für tröstende Gespräche.
Das Kind lädt ein anderes Kind, das alleine spielt, zum Mitmachen ein.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Inklusion, Gemeinschaftsgefühl;Förderung von sozialer Integration und Zugehörigkeit.;4+ Jahre;Freundschafts-Spielrunden, „Jeder darf mitspielen“-Regeln, Teamspiele.
Das Kind bringt von sich aus ein Pflaster, wenn sich jemand verletzt.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Hilfsbereitschaft, Fürsorge;Entwicklung von Fürsorge und Achtsamkeit für andere.;3+ Jahre;Erste-Hilfe-Station mit Kuscheltieren, Rollenspiel „Was tun, wenn jemand Hilfe braucht?“, Pflasterkiste gestalten.
Das Kind bringt einem anderen Kind etwas mit, das es vergessen hat.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Verantwortung, Achtsamkeit;Förderung von Verantwortungsbewusstsein und gegenseitiger Unterstützung.;4+ Jahre;„Wir helfen einander“-Geschichten, Verantwortungskarten ziehen, Partner-Aufgaben.
Das Kind zeigt sich dankbar für Hilfe und sagt „Danke“.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Dankbarkeit, Wertschätzung;Förderung eines Bewusstseins für Dankbarkeit und Anerkennung.;3+ Jahre;Dankbarkeitsritual am Morgen, Dankeschön-Karten basteln, „Was war heute schön für dich?“-Runde.
Das Kind versucht, Streit zwischen anderen Kindern zu schlichten.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktlösung, Friedensstiftung;Entwicklung von Konfliktlösungsstrategien und Vermittlungsfähigkeit.;5+ Jahre;Streitschlichter-Rolle einführen, Gefühle-Ausdruck mit Karten, Gesprächskreis „Wie finden wir Lösungen?“.
Das Kind teilt von sich aus sein Essen mit einem anderen Kind.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Teilen, Großzügigkeit;Förderung eines Verständnisses für Großzügigkeit und soziale Gerechtigkeit.;4+ Jahre;„Wir teilen“-Frühstücksrunde, Kochprojekt „Essen für alle“, Geschichten über Großzügigkeit.
Das Kind gibt einem anderen Kind einen Trostgegenstand, wenn es traurig ist.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Mitgefühl, Trost;Förderung von Empathie und sozialer Sensibilität.;3+ Jahre;„Tröstekiste“ mit Kuscheltieren, Geschichten über Freundschaft und Trost, „Wie kann ich helfen?“-Spiel.
Das Kind bittet um Erlaubnis, bevor es sich etwas nimmt.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Respekt, Rücksicht;Förderung eines Bewusstseins für persönliche Grenzen und Rücksichtnahme.;4+ Jahre;Rollenspiel „Darf ich?“, Geschichte „Meine Sachen, deine Sachen“, Gruppenregeln entwickeln.
Das Kind beschwert sich, dass es im Morgenkreis nie erzählen darf.;Emotionen und soziale Beziehungen;Emotionen;Gerechtigkeit;Das Kind entwickelt ein Verständnis für Beteiligung und faire Strukturen.;4+ Jahre;Namenslose Losbox, Kind-des-Tages-Ritual, Stimmkarten
Das Kind sagt, es fühlt sich in der Gruppe nicht gesehen;Emotionen und soziale Beziehungen;Emotionen;Empathie, Zugehörigkeit;Das Kind entwickelt die Fähigkeit, Bedürfnisse zu äußern und andere wahrzunehmen;5+ Jahre;Begrüßungslieder mit Namen Einzelgespräche Gefühlsbarometer täglich nutzen
Das Kind sagt, es möchte helfen, wenn jemand traurig ist;Emotionen und soziale Beziehungen;Emotionen;Empathie, Hilfsbereitschaft;Das Kind erkennt Gefühle anderer und bietet aktiv Unterstützung an;4+ Jahre;Gefühlsrunde mit Emo-Karten Trost-Kiste gestalten Patenkind übernehmen
Das Kind fragt, ob es unfair ist, wenn jemand zweimal dran kommt;Emotionen und soziale Beziehungen;Emotionen;Gerechtigkeit, Fairness;Das Kind reflektiert über faire Verteilung und setzt sich für Gleichheit ein;4+ Jahre;Würfelspiel zur Entscheidung Tagesablauf gemeinsam gestalten Kinder wählen Reihenfolge
Das Kind reagiert mit Wut auf Veränderungen;Emotionen und soziale Beziehungen;Emotionen;Umgang mit Übergängen, Emotionen;Das Kind lernt, Veränderungen anzunehmen und Gefühle einzuordnen;4+ Jahre;Gefühlsmandalas Geschichten zu Veränderung Wechselobjekte für Übergänge
Das Kind sagt, dass Streit immer mit Schreien endet;Emotionen und soziale Beziehungen;Emotionen;Konfliktverhalten, Gewaltfreiheit;Das Kind reflektiert alternative Strategien im Konflikt;5+ Jahre;Gefühlsthermometer Rollenspiel mit „Stopp“-Karten Gefühle pantomimisch darstellen
Das Kind kommentiert ein Verhalten als „blöd“ ohne Grund;Emotionen und soziale Beziehungen;Emotionen;Urteilsbildung, kritisches Denken;Das Kind lernt, Aussagen zu begründen und andere Sichtweisen zuzulassen;5+ Jahre;Begründe deine Meinung-Spiel Diskussionen mit Symbolkarten „Ich sehe das so“-Runden
Das Kind hilft einem Kind, das langsamer ist, ohne Aufforderung;Emotionen und soziale Beziehungen;Soziale Beziehungen;Hilfsbereitschaft, Rücksicht;Das Kind zeigt Achtsamkeit für die Bedürfnisse anderer;4+ Jahre;Kooperationsspiele Tandem-Aufgaben Rucksackhelfer*innen benennen
Das Kind erinnert andere daran, leise zu sein, wenn jemand schläft.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Rücksichtnahme, Achtsamkeit; Das Kind erkennt Bedürfnisse anderer und verhält sich entsprechend.; 3+ Jahre; Leisezeichen im Raum, Hörgeschichten mit Pausen, Rollenspiele zur Rücksichtnahme.
Das Kind schenkt einem anderen Kind ein selbstgemaltes Bild, um es zu trösten.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Mitgefühl, Freundschaft; Das Kind entwickelt Mitgefühl und zeigt soziales Verhalten.; 3+ Jahre; Freundschaftsbücher, Geschichten über Hilfsbereitschaft, Malaktionen für andere.
Das Kind erkennt an, dass ein anderes Kind gute Ideen hat.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Wertschätzung, Respekt; Das Kind stärkt das Selbstbild anderer durch positive Rückmeldungen.; 4+ Jahre;" Komplimente-Karten, ""Ich sehe was Gutes""-Runden, Spiegelrituale."
Das Kind spielt mit einem Kind, das neu in der Gruppe ist, ohne dazu aufgefordert zu werden.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Integration, Offenheit; Das Kind zeigt Willkommenskultur und fördert das Gemeinschaftsgefühl.; 3+ Jahre; Willkommensrituale, Patenkinder-System, Begrüßungsbilderbuch.
Das Kind sagt, dass alle mitspielen dürfen, auch wenn sie etwas anders machen.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Inklusion, Akzeptanz; Das Kind setzt sich aktiv für Gleichbehandlung und Toleranz ein.; 4+ Jahre; Regeln fürs gemeinsame Spiel, Geschichten zu Vielfalt, Mitmachspiele.
Das Kind besteht darauf, dass beim Geburtstagslied alle mitmachen dürfen.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Partizipation, Gemeinschaft; Das Kind fördert Teilhabe und Zusammenhalt in der Gruppe.; 3+ Jahre; Geburtstagsrituale gemeinsam gestalten, Lieder mit allen Namen, Gruppenkreis stärken.
Das Kind erkennt, dass ein Spiel unfair ist und schlägt eine neue Regel vor.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Fairness, Selbstwirksamkeit; Das Kind nimmt Einfluss auf das soziale Miteinander.; 4+ Jahre; Spielregel-Workshops, Gerechtigkeitsspiele, Abstimmungen über Spielvarianten.
Das Kind erinnert andere an Absprachen, ohne zu schimpfen.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Selbstkontrolle, Verantwortung; Das Kind entwickelt konstruktive Konfliktstrategien.; 5+ Jahre; Gesprächsrunden über Sprache und Ton, Ich-Botschaften üben, Konflikttheater.
Das Kind stellt fest, dass ein Kind traurig ist, weil es nicht versteht, was andere sagen.;Emotionen und soziale Beziehungen;Emotionen; Sprachteilhabe, Sensibilität; Das Kind erkennt sprachliche Barrieren und will helfen.; 4+ Jahre; Piktogramm-Karten, Dolmetscher-Kinder, einfache Sprache üben.
Das Kind bittet darum, bei einem Streit einzugreifen.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Zivilcourage, Konfliktbewältigung; Das Kind entwickelt Mut, sich für andere einzusetzen und Konflikte konstruktiv zu lösen.; 4+ Jahre; Rollenspiele zu Zivilcourage, Geschichten über mutige Kinder, „Stopp“-Regel einüben.
Das Kind sagt, dass etwas „unfair“ sei, weil nur ein Kind bestimmen durfte.;Emotionen und soziale Beziehungen;Emotionen; Gerechtigkeit, Machtverteilung; Das Kind entwickelt ein Gefühl für Machtbalance und demokratische Prozesse.; 5+ Jahre; Gruppenentscheidungen üben, Wahlspiele, Kinderrechte thematisieren.
Das Kind erinnert andere daran, dass jedes Kind „Stopp“ sagen darf.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Grenzsetzung, Selbstschutz; Das Kind kennt die „Stopp“-Regel und wendet sie aktiv an.; 4+ Jahre; Rollenspiele, Gefühle benennen lernen, Symbolkarten zur Selbstbehauptung.
Das Kind schlägt vor, ein Kind mit einzubeziehen, das sonst allein spielt.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Empathie, Integration; Das Kind zeigt Mitgefühl und soziales Verantwortungsbewusstsein.; 4+ Jahre; Gruppenspiele mit Teamfokus, Geschichten über Freundschaft, Mitmachkreise.
Das Kind beschreibt traurig, dass es sich anders fühlt als die anderen.;Emotionen und soziale Beziehungen;Emotionen; Zugehörigkeit, Identitätsentwicklung; Das Kind reflektiert seine Position in der Gruppe und sucht Anschluss.; 4+ Jahre; Ich-Buch gestalten, Gespräch über Gemeinsamkeiten, Gemeinschaftsrituale stärken.
Das Kind schlägt eine neue Regel vor, um Streit beim Spielen zu vermeiden.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Konfliktlösung, Regelverständnis; Das Kind bringt aktiv Ideen zur Verbesserung des Gruppenklimas ein.; 5+ Jahre; Konfliktkonferenzen, Regeln neu denken, „Wenn ich Chef wäre...“-Runde.
Das Kind erzählt, dass es gerne anderen hilft.;Emotionen und soziale Beziehungen;Soziale Beziehungen; Hilfsbereitschaft, Mitverantwortung; Das Kind erlebt sich als wichtiger Teil der Gemeinschaft durch selbstgewählte Aufgaben.; 3+ Jahre; Helferlisten führen, „Ich habe geholfen“-Sticker, Gespräch über Hilfe im Alltag.
Das Kind hat Schwierigkeiten, über Ausgrenzungen zu sprechen und wirkt verunsichert.;Emotionen und soziale Beziehungen;Emotionen;Inklusion und Gerechtigkeit;Förderung des Verständnisses für Inklusion und soziale Gerechtigkeit;6+ Jahre;Rollenspiele mit Ausgrenzungsszenarien, Bilderbücher über Ausgrenzung, Gesprächsrunden
Das Kind wartet geduldig, bis es an der Reihe ist;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Impulskontrolle; Förderung von Frustrationstoleranz und Rücksichtnahme; 4+ Jahre; Wartespiele, Ampelsystem für Warten, Gespräch über Geduld
