Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind übt barfuß über verschiedene Untergründe zu gehen.;Bewegung und Gesundheit;Bewegung; Taktiler Reiz und Körpergefühl; Das Kind stärkt seine sensorische Wahrnehmung.; 3+ Jahre; Barfußpfad, Sinnesstraße, „Mit den Füßen fühlen“-Spiel.
Das Kind zeigt Interesse am Thema Händewaschen.;Bewegung und Gesundheit;Gesundheit; Basishygiene; Das Kind übernimmt Verantwortung für Hygiene im Alltag.; 3+ Jahre; Händewaschlied, Seifenblasenrennen, UV-Farben-Test.
Das Kind ruft beim Essen: „Das kenn ich von zu Hause!“;Bewegung und Gesundheit;Gesundheit; Esskultur und Identität; Das Kind verknüpft Ernährung mit Herkunft und Wohlbefinden.; 4+ Jahre; Familienrezepte einbringen, Essensgeschichten, Kulturküche.
Das Kind balanciert konzentriert auf einem Schwebebalken.;Bewegung und Gesundheit;Bewegung; Balancierfähigkeit; Das Kind entwickelt Körperkontrolle und Ausdauer.; 4+ Jahre; Balancier-Parcours, Linienlauf, „Wie ein Seiltänzer“-Spiel.
Das Kind bemerkt nach dem Rennen: „Ich schwitze“;Bewegung und Gesundheit;Gesundheit; Körperbeobachtung; Das Kind erkennt körperliche Reaktionen auf Bewegung.; 4+ Jahre; Spiegelbeobachtung, Körperschema-Spiel, Gesprächsrunde „Was passiert beim Rennen?“
Das Kind sucht im freien Spiel den Trampolinbereich auf.;Bewegung und Gesundheit;Bewegung; Sprungkraft und Körperspannung; Das Kind stärkt Muskulatur und Körperkoordination.; 3+ Jahre; Trampolinzeit, Sprung-Wettbewerbe, Bewegung mit Musik.
Das Kind hilft beim Tischdecken in der Frühstücksgruppe.;Bewegung und Gesundheit;Gesundheit; Alltagskompetenz; Das Kind beteiligt sich aktiv an gesundheitsfördernden Routinen.; 3+ Jahre; Tischdienstplan, Platzdeckchen gestalten, Frühstücksbuffet betreuen.
Das Kind probiert von einem ihm unbekannten Gemüse.;Bewegung und Gesundheit;Gesundheit; Geschmackserfahrung; Das Kind zeigt Offenheit für neue Lebensmittel.; 4+ Jahre; Gemüse-Woche, Geschmackstest blind, Geschichten zu Lebensmitteln.
Das Kind rollt sich genüsslich in Decken ein.;Bewegung und Gesundheit;Gesundheit; Selbstberuhigung durch Körperkontakt; Das Kind nutzt taktile Reize zur Regulation.; 3+ Jahre; Deckenrollen-Spiel, Fühlhöhle, Kuschelecke
Das Kind sagt: „Ich brauche heute keine Pause“;Bewegung und Gesundheit;Gesundheit; Körperliche Selbsteinschätzung; Das Kind beobachtet seine Tagesform und trifft Entscheidungen.; 5+ Jahre; Ich-Bestimme-Mit-Karten, Aktivitätswahlkreis, Tagesformenbarometer.
Das Kind zeigt Interesse an der Körperwaage in der Garderobe.;Bewegung und Gesundheit;Gesundheit; Körperbewusstsein; Das Kind erkundet Zahlen im Zusammenhang mit Körperdaten.; 5+ Jahre; Körpermaße-Messstation, Größenvergleich, Spiegelwand.
Das Kind streckt nach dem Schlafen ausgiebig die Arme.;Bewegung und Gesundheit;Gesundheit; Körpersignale erkennen; Das Kind nimmt Spannungszustände bewusst wahr.; 3+ Jahre; Dehnübungen, Aufwachrituale, „Wie fühlt sich mein Körper an“-Gespräch.
Das Kind wünscht sich mehr Gurken auf dem Teller.;Bewegung und Gesundheit;Gesundheit; Ernährungskompetenz; Das Kind kommuniziert klar seine Vorlieben beim Essen.; 3+ Jahre; Wunschessen-Woche, Gemüsegespräch, Ich-mag-ich-mag-nicht-Karten.
Das Kind erzählt: „Mein Opa zeigt mir Tai Chi“;Bewegung und Gesundheit;Gesundheit; Bewegungsdiversität; Das Kind nimmt alternative Bewegungsformen wahr.; 5+ Jahre; Bewegungsrituale aus verschiedenen Kulturen, Tai-Chi-Geschichte, Großeltern-Bewegungstag.
Das Kind fordert: „Ich will das Pflaster selbst aufmachen“;Bewegung und Gesundheit;Gesundheit; Selbstwirksamkeit bei Pflege; Das Kind übernimmt Verantwortung für einfache Pflegehandlungen.; 4+ Jahre; Pflasterstation, Selbstversorger-Koffer, Erste-Hilfe für Kinder
Das Kind trinkt Wasser nach einer intensiven Spielphase.;Bewegung und Gesundheit;Gesundheit; Flüssigkeitsbedürfnis erkennen; Das Kind reagiert eigenständig auf Durstgefühle.; 3+ Jahre; Trinkstation, Durstzeichen-Tafel, Gespräch über Wasser und Körper.
Das Kind legt den Finger auf die Wunde und sagt: „Hier tut's weh“;Bewegung und Gesundheit;Gesundheit; Körpersprache und Kommunikation; Das Kind benennt Schmerzpunkte selbstständig.; 4+ Jahre; Körperkarten, Schmerzskala für Kinder, Erste-Hilfe-Spiel.
Das Kind läuft beim freien Spiel barfuß durch den Garten.;Bewegung und Gesundheit;Bewegung; Naturerfahrung mit dem Körper; Das Kind erlebt Natur über direkte körperliche Reize.; 3+ Jahre; Barfuß-Spaziergang, Bodenerlebnis-Spiel, „Mit den Füßen fühlen“-Station.
Das Kind fädelt Perlen auf eine Schnur und konzentriert sich dabei.;Bewegung und Gesundheit;Bewegung; Feinmotorik und Konzentration; Das Kind verbessert seine Hand-Auge-Koordination und Ausdauer.; 4+ Jahre; Perlenstation, Schmuck basteln, Fädelspiele mit Farben und Mustern.
Das Kind klappt Verschlüsse an einer Spieljacke auf und zu.;Bewegung und Gesundheit;Bewegung; Alltagsgeschick; Das Kind übt gezielte Fingerbewegungen im Alltag.; 3+ Jahre; Anziehpuppen, Verschlussrahmen, Alltagsmaterialien in der Spielküche.
Das Kind schneidet mit der Schere gerade Linien aus.;Bewegung und Gesundheit;Bewegung; Schneidekompetenz; Das Kind stärkt Fingerkraft und Präzision.; 4+ Jahre; Schneidewerkstatt, Papierschneide-Tiere, Linienfolgen mit Schere.
Das Kind malt sorgfältig Punkte in ein Ausmalbild.;Bewegung und Gesundheit;Bewegung; Feinmotorische Genauigkeit; Das Kind trainiert kontrollierte Stiftführung.; 3+ Jahre; Punktbilder, Mandalas, „Male nach Muster“-Aktivitäten.
Das Kind öffnet eigenständig die Joghurtverpackung.;Bewegung und Gesundheit;Gesundheit; Alltagsfähigkeiten; Das Kind entwickelt Selbstständigkeit im Umgang mit Verpackungen.; 4+ Jahre; Frühstück mit Mitmach-Station, Verpackungstest, „Ich mach’s selbst“-Tisch.
Das Kind reiht kleine Bausteine exakt aneinander.;Bewegung und Gesundheit;Bewegung; Aufbaukoordination; Das Kind entwickelt ein Gefühl für Form, Stabilität und Feinmotorik.; 4+ Jahre; Konstruktionsbausteine, Steckwürfel-Wettbewerb, „Türme bauen“-Aktion.
Das Kind zieht kleine Knöpfe durch Knopflöcher.;Bewegung und Gesundheit;Bewegung; Fingerkoordination; Das Kind trainiert zielgerichtete Fingerbewegungen.; 3+ Jahre; Knopfrahmen, „Knopf-Geschichte“ mit Filzjacken, Anziehpuzzle.
Das Kind benutzt eine Pinzette, um Bohnen zu greifen.;Bewegung und Gesundheit;Bewegung; Greifkoordination; Das Kind entwickelt Präzision im Umgang mit kleinen Objekten.; 4+ Jahre; Pinzettenspiele, Sortierstationen, Mini-Greifwettbewerb.
Das Kind stempelt mit kleinen Motivstempeln Muster aufs Papier.;Bewegung und Gesundheit;Bewegung; Handgelenkskontrolle; Das Kind stärkt gezielte Bewegungsführung und Ausdruck.; 3+ Jahre; Stempelstation, Bastelaktionen mit Drucktechnik, Motivkarten gestalten.
Das Kind schraubt mit Konzentration eine Flasche zu.;Bewegung und Gesundheit;Bewegung; Drehbewegungen; Das Kind koordiniert Handbewegung und Kraftdosierung.; 3+ Jahre; Schraubspielzeuge, „Was passt wohin?“-Tisch, Drehstation mit Alltagsmaterialien.
Das Kind sortiert kleine Objekte nach Farbe in Eierkartons.;Bewegung und Gesundheit;Bewegung; Greifpräzision; Das Kind kombiniert Farb- und Feinmotorikkenntnisse.; 3+ Jahre; Sortierkästen, Farb-Memory, Pinzettensortierung.
Das Kind faltet ein Papierschiff nach Anleitung.;Bewegung und Gesundheit;Bewegung; Handlungsabfolge und Fingerfertigkeit; Das Kind folgt einer motorischen Schrittfolge.; 5+ Jahre; Origami-Projekt, Faltstation, Boot-Wettbewerb auf Wasserbecken.
Das Kind benutzt einen Locher, um ein Blatt zu lochen.;Bewegung und Gesundheit;Bewegung; Kraftdosierung in Handbewegung; Das Kind übt zielgerichtete Druckausübung mit der Hand.; 4+ Jahre; Bastelstation mit Locher, Papiergestaltungsstation, Locherbilder.
Das Kind dreht kleine Schrauben mit einem Spielzeugschraubenzieher.;Bewegung und Gesundheit;Bewegung; Feinmechanik; Das Kind stärkt Koordination und Präzision.; 5+ Jahre; Werkbank-Spiel, „Ich bin Handwerker*in“-Ecke, Schrauben und Bauen.
Das Kind zieht sorgfältig ein Band durch eine Lochkarte.;Bewegung und Gesundheit;Bewegung; Augen-Hand-Koordination; Das Kind kombiniert visuelle Kontrolle und Bewegung.; 4+ Jahre; Fädelkarten, Webrahmen mit Schnüren, Durchziehspiele.
Das Kind rollt kleine Tonkugeln zwischen den Handflächen.;Bewegung und Gesundheit;Bewegung; Formgefühl und Handbewegung; Das Kind trainiert rhythmisches Rollen und Druckdosierung.; 3+ Jahre; Tonwerkstatt, Kugelbahn-Spiel, „Mach deine eigene Kugel“-Aktion.
Das Kind schraubt Flaschendeckel gezielt auf und ab.;Bewegung und Gesundheit;Bewegung; Rotationsbewegung; Das Kind verbessert beidhändige Koordination.; 3+ Jahre; Flaschendeckel-Memory, Alltagsdeckelbox, „Was gehört zusammen?“
Das Kind benutzt gezielt einen Klebestift beim Basteln.;Bewegung und Gesundheit;Bewegung; Dosierung von Materialeinsatz; Das Kind entwickelt Kontrolle über Kraft und Fläche.; 4+ Jahre; Bastelstraße, Kleber-Farbtests, Papiertheater gestalten.
Das Kind zeichnet kleine Formen mit einem Wachsmalstift.;Bewegung und Gesundheit;Bewegung; Linienführung; Das Kind trainiert gezielte und wiederholbare Bewegungsmuster.; 3+ Jahre; Schablonenzeichnen, Formenspiel, Stiftführungsparcours.
Das Kind blättert konzentriert die Seiten eines Buches um.;Bewegung und Gesundheit;Bewegung; Fingerkoordination im Alltag; Das Kind zeigt gezielte Steuerung kleiner Fingerbewegungen.; 3+ Jahre; Buch-Ecke, „Blättern mit Gefühl“-Spiel, Bilderbuchparcours.
Das Kind formt kleine Figuren aus Knetmasse.;Bewegung und Gesundheit;Bewegung; Plastisches Gestalten; Das Kind schult seine Fingerkraft und Kreativität.; 3+ Jahre; Knetwerkstatt, Formenratespiel, Knet-Memory.
Das Kind schiebt kleine Steckteile in ein Raster.;Bewegung und Gesundheit;Bewegung; Feinmotorische Zielgenauigkeit; Das Kind übt präzise Bewegungsführung und Orientierung.; 4+ Jahre; Steckspiele, Formen- und Farbenraster, Konstruktionswettlauf.
Das Kind wickelt Wolle um einen Pappring für einen Pompon.;Bewegung und Gesundheit;Bewegung; Kreisbewegung und Ausdauer; Das Kind entwickelt rhythmische Bewegungsführung.; 5+ Jahre; Wollwerkstatt, Pompon-Projekt, Bastelreihe mit Wiederholungen.
Das Kind dreht geduldig ein Gewinde in ein Spielgerät.;Bewegung und Gesundheit;Bewegung; Zielgerichtete Fingerbewegung; Das Kind stärkt motorisches Durchhaltevermögen.; 5+ Jahre; Schraub-Box, „Mini-Monteure“-Werkstatt, Technikspielzeug erkunden.
Das Kind befestigt ein Klettsymbol an der richtigen Stelle.;Bewegung und Gesundheit;Bewegung; Zielgerichtetes Greifen; Das Kind verknüpft Feinmotorik mit Raumorientierung.; 3+ Jahre; Klettwand, Aufgabenpläne mit Symbolen, Wäscheleine-Spiel.
Das Kind klebt Sticker in ein Album.;Bewegung und Gesundheit;Bewegung; Handsteuerung bei Klebearbeit; Das Kind trainiert gezieltes Platzieren.; 3+ Jahre; Sticker-Station, Sammelalbum-Tausch, „Wo passt das hin?“-Spiel.
Das Kind hält beim Malen den Pinsel mit drei Fingern.;Bewegung und Gesundheit;Bewegung; Grifftechnik; Das Kind verbessert seine Maltechnik und Muskelkoordination.; 4+ Jahre; Pinselwerkstatt, Malstation mit Wasserfarben, Pinselspiele.
Das Kind benutzt eine Spritzflasche beim Wasserspiel.;Bewegung und Gesundheit;Bewegung; Dosierte Kraftanwendung; Das Kind entwickelt präzise Steuerung von Druck.; 4+ Jahre; Wasserkunst-Spiel, Farbspritzbilder, Reinigungshelfer-Rolle.
Das Kind steckt Reißnägel in eine Korkplatte mit Unterstützung.;Bewegung und Gesundheit;Bewegung; Zielgenauigkeit und Koordination; Das Kind erprobt neue Bewegungen unter Begleitung.; 5+ Jahre; Pinnspiel, „Mach dein Namensbild“, Korkbilder gestalten.
Das Kind faltet mit Anleitung eine Serviette zur Blume.;Bewegung und Gesundheit;Bewegung; Fingerfertigkeit mit Struktur; Das Kind folgt Handlungsschritten mit Fingerspitzengefühl.; 5+ Jahre; Tischdeckdienst, Faltanleitungen mit Bildern, „Ich dekoriere den Tisch“-Projekt.
Das Kind fädelt Perlen auf eine Schnur und konzentriert sich dabei.;Bewegung und Gesundheit;Bewegung; Feinmotorik und Konzentration; Das Kind verbessert seine Hand-Auge-Koordination und Ausdauer.; 4+ Jahre; Perlenstation, Schmuck basteln, Fädelspiele mit Farben und Mustern.
Das Kind klappt Verschlüsse an einer Spieljacke auf und zu.;Bewegung und Gesundheit;Bewegung; Alltagsgeschick; Das Kind übt gezielte Fingerbewegungen im Alltag.; 3+ Jahre; Anziehpuppen, Verschlussrahmen, Alltagsmaterialien in der Spielküche.
Das Kind schneidet mit der Schere gerade Linien aus.;Bewegung und Gesundheit;Bewegung; Schneidekompetenz; Das Kind stärkt Fingerkraft und Präzision.; 4+ Jahre; Schneidewerkstatt, Papierschneide-Tiere, Linienfolgen mit Schere.
Das Kind malt sorgfältig Punkte in ein Ausmalbild.;Bewegung und Gesundheit;Bewegung; Feinmotorische Genauigkeit; Das Kind trainiert kontrollierte Stiftführung.; 3+ Jahre; Punktbilder, Mandalas, „Male nach Muster“-Aktivitäten.
Das Kind öffnet eigenständig die Joghurtverpackung.;Bewegung und Gesundheit;Gesundheit; Alltagsfähigkeiten; Das Kind entwickelt Selbstständigkeit im Umgang mit Verpackungen.; 4+ Jahre; Frühstück mit Mitmach-Station, Verpackungstest, „Ich mach’s selbst“-Tisch.
Das Kind reiht kleine Bausteine exakt aneinander.;Bewegung und Gesundheit;Bewegung; Aufbaukoordination; Das Kind entwickelt ein Gefühl für Form, Stabilität und Feinmotorik.; 4+ Jahre; Konstruktionsbausteine, Steckwürfel-Wettbewerb, „Türme bauen“-Aktion.
Das Kind zieht kleine Knöpfe durch Knopflöcher.;Bewegung und Gesundheit;Bewegung; Fingerkoordination; Das Kind trainiert zielgerichtete Fingerbewegungen.; 3+ Jahre; Knopfrahmen, „Knopf-Geschichte“ mit Filzjacken, Anziehpuzzle.
Das Kind benutzt eine Pinzette, um Bohnen zu greifen.;Bewegung und Gesundheit;Bewegung; Greifkoordination; Das Kind entwickelt Präzision im Umgang mit kleinen Objekten.; 4+ Jahre; Pinzettenspiele, Sortierstationen, Mini-Greifwettbewerb.
Das Kind stempelt mit kleinen Motivstempeln Muster aufs Papier.;Bewegung und Gesundheit;Bewegung; Handgelenkskontrolle; Das Kind stärkt gezielte Bewegungsführung und Ausdruck.; 3+ Jahre; Stempelstation, Bastelaktionen mit Drucktechnik, Motivkarten gestalten.
Das Kind schraubt mit Konzentration eine Flasche zu.;Bewegung und Gesundheit;Bewegung; Drehbewegungen; Das Kind koordiniert Handbewegung und Kraftdosierung.; 3+ Jahre; Schraubspielzeuge, „Was passt wohin?“-Tisch, Drehstation mit Alltagsmaterialien.
Das Kind sortiert kleine Objekte nach Farbe in Eierkartons.;Bewegung und Gesundheit;Bewegung; Greifpräzision; Das Kind kombiniert Farb- und Feinmotorikkenntnisse.; 3+ Jahre; Sortierkästen, Farb-Memory, Pinzettensortierung.
Das Kind faltet ein Papierschiff nach Anleitung.;Bewegung und Gesundheit;Bewegung; Handlungsabfolge und Fingerfertigkeit; Das Kind folgt einer motorischen Schrittfolge.; 5+ Jahre; Origami-Projekt, Faltstation, Boot-Wettbewerb auf Wasserbecken.
Das Kind benutzt einen Locher, um ein Blatt zu lochen.;Bewegung und Gesundheit;Bewegung; Kraftdosierung in Handbewegung; Das Kind übt zielgerichtete Druckausübung mit der Hand.; 4+ Jahre; Bastelstation mit Locher, Papiergestaltungsstation, Locherbilder.
Das Kind dreht kleine Schrauben mit einem Spielzeugschraubenzieher.;Bewegung und Gesundheit;Bewegung; Feinmechanik; Das Kind stärkt Koordination und Präzision.; 5+ Jahre; Werkbank-Spiel, „Ich bin Handwerker*in“-Ecke, Schrauben und Bauen.
Das Kind zieht sorgfältig ein Band durch eine Lochkarte.;Bewegung und Gesundheit;Bewegung; Augen-Hand-Koordination; Das Kind kombiniert visuelle Kontrolle und Bewegung.; 4+ Jahre; Fädelkarten, Webrahmen mit Schnüren, Durchziehspiele.
Das Kind rollt kleine Tonkugeln zwischen den Handflächen.;Bewegung und Gesundheit;Bewegung; Formgefühl und Handbewegung; Das Kind trainiert rhythmisches Rollen und Druckdosierung.; 3+ Jahre; Tonwerkstatt, Kugelbahn-Spiel, „Mach deine eigene Kugel“-Aktion.
Das Kind schraubt Flaschendeckel gezielt auf und ab.;Bewegung und Gesundheit;Bewegung; Rotationsbewegung; Das Kind verbessert beidhändige Koordination.; 3+ Jahre; Flaschendeckel-Memory, Alltagsdeckelbox, „Was gehört zusammen?“
Das Kind benutzt gezielt einen Klebestift beim Basteln.;Bewegung und Gesundheit;Bewegung; Dosierung von Materialeinsatz; Das Kind entwickelt Kontrolle über Kraft und Fläche.; 4+ Jahre; Bastelstraße, Kleber-Farbtests, Papiertheater gestalten.
Das Kind zeichnet kleine Formen mit einem Wachsmalstift.;Bewegung und Gesundheit;Bewegung; Linienführung; Das Kind trainiert gezielte und wiederholbare Bewegungsmuster.; 3+ Jahre; Schablonenzeichnen, Formenspiel, Stiftführungsparcours.
Das Kind blättert konzentriert die Seiten eines Buches um.;Bewegung und Gesundheit;Bewegung; Fingerkoordination im Alltag; Das Kind zeigt gezielte Steuerung kleiner Fingerbewegungen.; 3+ Jahre; Buch-Ecke, „Blättern mit Gefühl“-Spiel, Bilderbuchparcours.
Das Kind formt kleine Figuren aus Knetmasse.;Bewegung und Gesundheit;Bewegung; Plastisches Gestalten; Das Kind schult seine Fingerkraft und Kreativität.; 3+ Jahre; Knetwerkstatt, Formenratespiel, Knet-Memory.
Das Kind schiebt kleine Steckteile in ein Raster.;Bewegung und Gesundheit;Bewegung; Feinmotorische Zielgenauigkeit; Das Kind übt präzise Bewegungsführung und Orientierung.; 4+ Jahre; Steckspiele, Formen- und Farbenraster, Konstruktionswettlauf.
Das Kind wickelt Wolle um einen Pappring für einen Pompon.;Bewegung und Gesundheit;Bewegung; Kreisbewegung und Ausdauer; Das Kind entwickelt rhythmische Bewegungsführung.; 5+ Jahre; Wollwerkstatt, Pompon-Projekt, Bastelreihe mit Wiederholungen.
Das Kind dreht geduldig ein Gewinde in ein Spielgerät.;Bewegung und Gesundheit;Bewegung; Zielgerichtete Fingerbewegung; Das Kind stärkt motorisches Durchhaltevermögen.; 5+ Jahre; Schraub-Box, „Mini-Monteure“-Werkstatt, Technikspielzeug erkunden.
Das Kind befestigt ein Klettsymbol an der richtigen Stelle.;Bewegung und Gesundheit;Bewegung; Zielgerichtetes Greifen; Das Kind verknüpft Feinmotorik mit Raumorientierung.; 3+ Jahre; Klettwand, Aufgabenpläne mit Symbolen, Wäscheleine-Spiel.
Das Kind klebt Sticker in ein Album.;Bewegung und Gesundheit;Bewegung; Handsteuerung bei Klebearbeit; Das Kind trainiert gezieltes Platzieren.; 3+ Jahre; Sticker-Station, Sammelalbum-Tausch, „Wo passt das hin?“-Spiel.
Das Kind hält beim Malen den Pinsel mit drei Fingern.;Bewegung und Gesundheit;Bewegung; Grifftechnik; Das Kind verbessert seine Maltechnik und Muskelkoordination.; 4+ Jahre; Pinselwerkstatt, Malstation mit Wasserfarben, Pinselspiele.
Das Kind benutzt eine Spritzflasche beim Wasserspiel.;Bewegung und Gesundheit;Bewegung; Dosierte Kraftanwendung; Das Kind entwickelt präzise Steuerung von Druck.; 4+ Jahre; Wasserkunst-Spiel, Farbspritzbilder, Reinigungshelfer-Rolle.
Das Kind steckt Reißnägel in eine Korkplatte mit Unterstützung.;Bewegung und Gesundheit;Bewegung; Zielgenauigkeit und Koordination; Das Kind erprobt neue Bewegungen unter Begleitung.; 5+ Jahre; Pinnspiel, „Mach dein Namensbild“, Korkbilder gestalten.
Das Kind faltet mit Anleitung eine Serviette zur Blume.;Bewegung und Gesundheit;Bewegung; Fingerfertigkeit mit Struktur; Das Kind folgt Handlungsschritten mit Fingerspitzengefühl.; 5+ Jahre; Tischdeckdienst, Faltanleitungen mit Bildern, „Ich dekoriere den Tisch“-Projekt.
Das Kind hat Schwierigkeiten, mit Ton oder Knete zu arbeiten und vermeidet es.;Bewegung und Gesundheit;Bewegung;Plastisches Gestalten;Förderung der Feinmotorik und des taktilen Sinns;3+ Jahre;Weiche Knete anbieten, verschiedene Werkzeuge vorstellen, gemeinsames Modellieren, freies Gestalten, Töpfern.
Das Kind bewegt sich kaum zur Musik und wirkt unkoordiniert.;Bewegung und Gesundheit;Bewegung;Bewegung und Tanz;Förderung des Körpergefühls und der Koordination;4+ Jahre;Einfache Tanzspiele, Bewegungslieder, Tanzen mit Tüchern, freies Tanzen, Rhythmusspiele.
Das Kind hat Schwierigkeiten, mit Fingerfarben zu malen und wirkt unordentlich.;Bewegung und Gesundheit;Bewegung; Fingerfertigkeit mit Struktur;Förderung der sensorischen Wahrnehmung und der Feinmotorik;3+ Jahre;Große Papierbögen auslegen, verschiedene Maltechniken vorstellen, gemeinsames Malen, freies Gestalten.
Das Kind hat Schwierigkeiten, Rhythmen nachzuspielen und wirkt unkoordiniert.;Bewegung und Gesundheit;Bewegung;Rhythmik;Förderung des Rhythmusgefühls und der Koordination;4+ Jahre;Einfache Rhythmusspiele, Bewegungslieder, Bodypercussion, Rhythmusinstrumente vorstellen, Klanggeschichten.
Das Kind wirkt unsicher beim Schattentheater und hat Schwierigkeiten, Figuren zu bewegen.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der Feinmotorik und der kreativen Gestaltung;6+ Jahre;Einfache Schattentheater-Figuren anbieten, gemeinsames Gestalten, Licht- und Schattenspiele.
Das Kind hat Schwierigkeiten, Reliefs zu gestalten und wirkt ungeschickt.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der räumlichen Vorstellungskraft und der handwerklichen Fähigkeiten;6+ Jahre;Einfache Reliefvorlagen anbieten, verschiedene Materialien vorstellen, gemeinsames Gestalten.
Das Kind vermeidet es, Bilder mit klaren Formen zu malen.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung des Formverständnisses und der Feinmotorik;4+ Jahre;"Malen mit Schablonen, Stempelbilder, Formen legen und abmalen, Mandalas ausmalen, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind hat Schwierigkeiten, mit verschiedenen Materialien zu kleben und zu gestalten.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der Materialerfahrung und der Feinmotorik;5+ Jahre;Collagen gestalten, Klebearbeiten mit verschiedenen Materialien, Mosaike kleben, Fensterbilder gestalten.
Das Kind hat Schwierigkeiten, mit verschiedenen Materialien zu drucken und zu stempeln.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der Materialerfahrung und der Feinmotorik;6+ Jahre;Stempelbilder, Kartoffeldruck, Linoldruck, Monotypie, Drucken mit Naturmaterialien.
Das Kind zeigt wenig Interesse an der Gestaltung von Requisiten und wirkt ungeschickt.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der kreativen Gestaltung und der Feinmotorik;7+ Jahre;"Requisiten basteln, Rollenspiele mit Requisiten, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind zeigt wenig Interesse an der Gestaltung von Puppen und wirkt ungeschickt.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der kreativen Gestaltung und der Feinmotorik;7+ Jahre;"Handpuppen basteln, Marionetten bauen, Puppenspiele, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind hat Schwierigkeiten, mit verschiedenen Materialien zu knoten und zu flechten.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;Förderung der Feinmotorik und der handwerklichen Fähigkeiten;7+ Jahre;Flechtarbeiten mit Wolle, Bänder knüpfen, Makramee, Weben.
Das Kind formt gerne Figuren aus Ton oder Knete und zeigt Geschicklichkeit.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;3+ Jahre;Arbeiten mit Ton, Knete, Salzteig, Modellieren nach Vorlage, freies Gestalten, Töpfern.;Knetfiguren mit Zahnstochern verzieren, Tonfiguren bemalen, Salzteig-Kekse backen, Gipsfiguren gießen und bemalen.
Das Kind kennt den Unterschied zwischen Reißen und Schneiden und bevorzugt eine Methode.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;3+;Basteln mit Transparentpapier;Reißen und Schneiden mit verschiedenen Materialien ausprobieren, Collagen gestalten, Scherenspiele, Papierfiguren basteln
Das Kind interessiert sich für verschiedene Verfahren des Auseinandernehmens.;Bewegung und Gesundheit;Bewegung;Fingerfertigkeit;4+;Auseinandernehmen von Alltagsgegenständen;Alte Geräte auseinandernehmen, Puzzle zusammensetzen, Konstruktionsspiele mit Stecksystemen, Modelle bauen und auseinandernehmen
Das Kind nimmt sich selbst und die Umwelt mit allen Sinnen wahr.;Bewegung und Gesundheit;Gesundheit;Sinneswahrnehmung;Förderung der Sinneswahrnehmung;2+;Sinnesspiele, Naturerkundungen
